Name, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096
v0, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,004s, 0m0,022s, 0m0,191s, 0m3,318s, 0m35,378s, 8m43,423s
v0_th, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,001s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,005s, 0m0,038s, 0m0,486s, 0m10,384s, 2m8,043s
v1, 0m0,002s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,002s, 0m0,004s, 0m0,023s, 0m0,192s, 0m3,332s, 0m34,513s, 10m14,177s
v1_th, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,001s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,005s, 0m0,038s, 0m0,528s, 0m10,583s, 2m19,823s
v2, 0m0,002s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,002s, 0m0,008s, 0m0,056s, 0m0,431s, 0m4,862s, 0m32,775s
v2_th, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,001s, 0m0,001s, 0m0,002s, 0m0,002s, 0m0,004s, 0m0,016s, 0m0,113s, 0m1,096s, 0m8,343s
v3, 0m0,002s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,002s, 0m0,004s, 0m0,023s, 0m0,173s, 0m2,053s, 0m17,619s
v3_th, 0m0,002s, 0m0,002s, 0m0,001s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,006s, 0m0,054s, 0m0,488s, 0m5,101s
v4, 0m0,002s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,002s, 0m0,003s, 0m0,011s, 0m0,068s, 0m0,612s, 0m5,135s
v4_th, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,005s, 0m0,022s, 0m0,153s, 0m1,489s
v5, 0m0,002s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,002s, 0m0,003s, 0m0,011s, 0m0,062s, 0m0,616s, 0m4,046s
v5_th, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,005s, 0m0,020s, 0m0,146s, 0m0,998s
