Name, 2, 4, 8, 16, 32, 64, 128, 256, 512, 1024, 2048, 4096
v0, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,003s, 0m0,023s, 0m0,185s, 0m3,239s, 0m41,423s, 10m3,549s
v0_th, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,005s, 0m0,036s, 0m0,480s, 0m10,340s, 2m9,009s
v1, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,002s, 0m0,004s, 0m0,023s, 0m0,193s, 0m3,275s, 0m42,493s, 10m15,851s
v1_th, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,006s, 0m0,040s, 0m0,502s, 0m10,581s, 2m22,363s
v2, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,002s, 0m0,008s, 0m0,056s, 0m0,430s, 0m4,941s, 0m32,787s
v2_th, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,004s, 0m0,016s, 0m0,115s, 0m1,096s, 0m8,179s
v3, 0m0,002s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,002s, 0m0,004s, 0m0,023s, 0m0,172s, 0m2,043s, 0m17,599s
v3_th, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,006s, 0m0,042s, 0m0,493s, 0m4,999s
v4, 0m0,002s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,002s, 0m0,003s, 0m0,015s, 0m0,067s, 0m0,605s, 0m5,061s
v4_th, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,005s, 0m0,022s, 0m0,152s, 0m1,512s
v5, 0m0,002s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,001s, 0m0,003s, 0m0,010s, 0m0,060s, 0m0,602s, 0m4,027s
v5_th, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,001s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,002s, 0m0,004s, 0m0,020s, 0m0,146s, 0m0,995s
